,Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
2460,SpIRIT (Space Industry – Responsive – Intelligent – Thermal),University of Melbourne,Australia,6U,not launched,not launched,Demonstrator cubesat carrying an X-ray detector and propulsion system.,
2461,Warath Seed,University of Sydney,Australia,6U,not launched,not launched,Australian ride-share satellite so that industry and researchers can use to test and prove the functionality of their tech.,
2462,"3CAT-3 (3CAT3, MOTS)",Universitat Politècnica de Catalunya,Spain,6U,not launched,not launched,Demonstrate multispectral camera and an L-band radiometer.,
2463,ALISIO (Advanced and Light Satellite for Infrared Observations),IACTec SPACE - Instituto de Astrofísica de Canarias,Spain,3U,not launched,not launched,SWIR instrument and test a magnetic measurement card useful for LISA.,
2464,AmbaSat-1 CubeSat,Ambasat,UK,3U,not launched,not launched,Deploy AmbaSat-1 sprites or chipsats.,
2465,AMS (Agricultural Monitoring),ISISpace,Netherlands,12U,not launched,not launched,Demonstrate MWIR instrument in a CubeSat.,
2466,AragoSat-1,Institut Polytechnique des Sciences Avancées (IPSA),France,3U,not launched,not launched,Test miniature Helicon RF (Radio Frequency) thruster.,
2467,ASTRAEUS-01 (Astraeus),GU Orbit (University of Glasgow),UK,3U,not launched,not launched,Carry a small camera to photograph Earth from space and determine the stability of the satellite. Main payload is a de-orbiting solution.,
2468,blair3sat,Montgomery Blair High School,US,3U,not launched,not launched,"Measure charge density and high energy particle emissions in the ionosphere, contributing to radio propagation models and space weather research.",
2469,CLIMB,University of Applied Sciences Wiener,Austria,3U,not launched,not launched,Use a propulsion system to reach the inner Van-Allen belt and measure the radiation environment.,
2470,GALAMSAT2 (GALAMSAT-2),All Nations University,Ghana,3U,not launched,not launched,Monitor illegal mining activities with high resolution camera.,
2471,MIST (MIiniature Student saTellite),Royal Institute of Technology (KTH),Sweden,3U,not launched,not launched,"Test various technologies including propulsion system, mass spectrometer and piezoelectric motor.",
2472,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2473,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2474,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2475,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2476,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2477,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2478,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2479,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2480,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2481,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2482,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2483,SpaceBEE-xx,Swarm Technologies,US,0.25U,not launched,not launched,World’s smallest two-way communications satellites for IoT.,
2484,Spectrolite,ISISpace,Netherlands,12U,not launched,not launched,Air quality monitoring with novel spectrometer to measure NO2 emissions.,
2485,TUDSat,TU Darmstadt Space Technology,Germany,1U,not launched,not launched,Technology demonstration of transparent reflector array mounted on a solar cell.,
2486,WormSail,University of Nottingham,UK,2U,not launched,not launched,Aims to use small satellites as affordable tools for biomedical research in space.,
2487,WUSAT-3,University of Warwick,UK,3U,not launched,not launched,Technology for wildlife monitoring and educational mission.,
2488,Astrocast 13,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2489,Astrocast 14,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2490,Astrocast 15,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2491,Astrocast 16,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2492,Astrocast 17,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2493,Astrocast 18,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2494,Astrocast 19,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2495,Astrocast 20,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2496,Astrocast 21,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2497,Astrocast 22,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2498,Astrocast 23,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2499,Astrocast 24,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2500,Astrocast 25,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2501,Astrocast 26,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2502,Astrocast 27,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2503,Astrocast 28,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2504,Astrocast 29,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2505,Astrocast 30,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2506,Astrocast 31,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2507,Astrocast 32,Astrocast,Switzerland,3U,not launched,not launched,Constellation for IoT/M2M services.,
2508,SASAT1 Kanyini (SASAT-1),SmartSat CRC,Australia,6U,not launched,not launched,Australian mission with IoT and Earth observation payloads.,
2509,Aalto-3,Aalto University,Finland,1U,not launched,not launched,Demonstrate complex signal analysis with a Software-Defined Radio payload.,
2510,CLICK B (CubeSat Laser Infrared CrosslinK),Massachusetts Institute of Technology,US,3U,not launched,not launched,Demonstrate the optical crosslink.,
2511,CLICK C (CubeSat Laser Infrared CrosslinK),Massachusetts Institute of Technology,US,3U,not launched,not launched,Demonstrate the optical crosslink.,
2512,CubeSpec,KU Leuven,Belgium,6U,not launched,not launched,Demonstrate high spectral spectroscopy for astroseismology and exoplanet transits.,
2513,CySat 1 (CySat-1),Iowa State University,US,3U,not launched,not launched,Educational training and demonstration of CubeSat platform technologies for asteroid surveying payload.,
2514,Da Vinci CubeSat,Delft University of Technology,Netherlands,2U,not launched,not launched,Educational mission with amateur radio payload.,
2515,EarthTV-3,Sen,UK,16U,not launched,not launched,Constellation to stream real-time and timely videos from space.,
2516,EarthTV-4,Sen,UK,16U,not launched,not launched,Constellation to stream real-time and timely videos from space.,
2517,EarthTV-5,Sen,UK,16U,not launched,not launched,Constellation to stream real-time and timely videos from space.,
2518,"Ex-Alta 2 (AlbertaSat-2, Experimental Albertan #2)",University of Alberta,Canada,3U,not launched,not launched,Expand open-source platform and test imaging camera for wildfires.,
2519,Faraday-1c,In-Space Missions,UK,6U,not launched,not launched,Hosted payload opportunities for early service and technology demonstration.,
2520,GROOVE-EVO 1 (TBD),German Orbital Systems,Germany,3U,not launched,not launched,Shared In-Orbit-Demonstration missions.,
2521,HERMES-SP A (High Energy Modular Ensemble of Satellites Scientific Pathfinder),INAF (National Institute for Astrophysics),Italy,3U,not launched,not launched,Demonstrate detector design (Silicon Drift Detectors coupled to GAGG:Ce scintillator crystals) and its performance.,
2522,OreSat-1 (OreSat1),Portland State University,US,2U,not launched,not launched,STEM outreach by sending live video space-to-ground stations plus camera.,
2523,SunRISE 1 (Sun Radio Interferometer Space Experiment),NASA JPL,US,6U,not launched,not launched,Study how the Sun creates and releases Giant Solar Particle Storms in GEO orbit.,
2524,SunRISE 2 (Sun Radio Interferometer Space Experiment),NASA JPL,US,6U,not launched,not launched,Study how the Sun creates and releases Giant Solar Particle Storms in GEO orbit.,
2525,SunRISE 3 (Sun Radio Interferometer Space Experiment),NASA JPL,US,6U,not launched,not launched,Study how the Sun creates and releases Giant Solar Particle Storms in GEO orbit.,
2526,SunRISE 4 (Sun Radio Interferometer Space Experiment),NASA JPL,US,6U,not launched,not launched,Study how the Sun creates and releases Giant Solar Particle Storms in GEO orbit.,
2527,SunRISE 5 (Sun Radio Interferometer Space Experiment),NASA JPL,US,6U,not launched,not launched,Study how the Sun creates and releases Giant Solar Particle Storms in GEO orbit.,
2528,SunRISE 6 (Sun Radio Interferometer Space Experiment),NASA JPL,US,6U,not launched,not launched,Study how the Sun creates and releases Giant Solar Particle Storms in GEO orbit.,
2529,AAUSAT6,Aalborg University,Denmark,1U,not launched,not launched,TBD,
2530,AcubeSAT,The Aristotle University of Thessaloniki,Greece,3U,not launched,not launched,Demonstrate lab-on-a-chip technology for biological experiments in Low Earth Orbit.,
2531,ADORE Sat (ADCS and Orbit Raising with Electrospray Ionization),Boston Space Alliance,US,1U,not launched,not launched,Incorporate new Electrospray Thrusters from the MIT Space Propulsion Laboratory and demonstrate their technological readiness for spaceflight.,
2532,Amber 2,Horizon Technologies,UK,6U,not launched,not launched,Become part of the Horizon Space Technologies’ Amber™ constellation dedicated to delivering Maritime Domain Awareness (MDA) intelligence data.,
2533,Amber 3,Horizon Technologies,UK,6U,not launched,not launched,Become part of the Horizon Space Technologies’ Amber™ constellation dedicated to delivering Maritime Domain Awareness (MDA) intelligence data.,
2534,Anant (Team Anant),"Birla Institute of Technology and Science, Pilani (BITS Pilani)",India,3U,not launched,not launched,Hyperspectral camera to perform water quality monitoring.,
2535,ANIRSAT,Nextronic,Morocco,1U,not launched,not launched,Internet of Things.,
2536,AYCI CubeSat,Australasian Youth Cubesat Initiative,Australia,1U,not launched,not launched,"Transmit live video back to earth, along with data from two student-built Arduino experiments to be selected from a competition.",
2537,BeliefSat-1,K J Somaiya Institute of Engineering and Information Technology,India,PocketQube 2p,not launched,not launched,Educational mission and demonstrating PocketQube technologies.,
2538,Binar 5 (Binar-5),Curtin University,Australia,1U,not launched,not launched,Test CubeSat technologies for deep space missions.,
2539,Binar 6 (Binar-6),Curtin University,Australia,1U,not launched,not launched,Test CubeSat technologies for deep space missions.,
2540,Binar 7 (Binar-7),Curtin University,Australia,1U,not launched,not launched,Test CubeSat technologies for deep space missions.,
2541,Bluefield 1,Bluefield,US,16U,not launched,not launched,Methane tracking constellation with 20x20 meter pixel resolution.,
2542,Bluefield 2,Bluefield,US,16U,not launched,not launched,Methane tracking constellation with 20x20 meter pixel resolution.,
2543,Centauri-8,Fleet Space,Australia,6U,not launched,not launched,IoT satellite network.,
2544,Centauri-9,Fleet Space,Australia,6U,not launched,not launched,IoT satellite network.,
2545,Centauri-10,Fleet Space,Australia,6U,not launched,not launched,IoT satellite network.,
2546,Centauri-11,Fleet Space,Australia,6U,not launched,not launched,IoT satellite network.,
2547,Centauri-12,Fleet Space,Australia,6U,not launched,not launched,IoT satellite network.,
2548,Centauri-13,Fleet Space,Australia,6U,not launched,not launched,IoT satellite network.,
2549,Centauri-14,Fleet Space,Australia,6U,not launched,not launched,IoT satellite network.,
2550,"Cislunar Explorers (3UA, 3UB)",Cornell University,US,6U,not launched,not launched,Demonstrate using water as propellant.,
2551,Clark Sat-1,CLARK NEXT TOKYO High School,Japan,1U,not launched,not launched,Educational mission with amateur radio payload and camera.,
2552,CLE A (Netherlands China Low Frequency Explorer),ISISpace,Netherlands,12U,not launched,not launched,3 satellites with intersatellite link for real time interferometry and Lunar Radio Astronomy.,
2553,CLE B (Netherlands China Low Frequency Explorer),ISISpace,Netherlands,12U,not launched,not launched,3 satellites with intersatellite link for real time interferometry and Lunar Radio Astronomy.,
2554,CLE C (Netherlands China Low Frequency Explorer),ISISpace,Netherlands,12U,not launched,not launched,3 satellites with intersatellite link for real time interferometry and Lunar Radio Astronomy.,
2555,CONTEC CubeSat (TBD),Contec,South Korea,16U,not launched,not launched,"The payload will consist of imager with 1.5 m resolution, supplied by NanoAvionics partner, and Contec’s laser communication terminal (LCT).",
2556,ContentCube,Virginia Tech,US,1U,not launched,not launched,Selfie-stick for space will external LCD screen.,
2557,CTS Sat1,University of Calgary,Canada,3U,not launched,not launched,"Carrying local payloads designed and made in UCalgary labs. We will also be launching a camera to space, allowing for photo opportunities of the satellite and Earth!",
2558,CU-E3 (Colorado University Earth Escape Explorer),University of Colorado,US,6U,not launched,not launched,Advancing deep space CubeSat communication techniques in heliocentric orbit.,
2559,CubeSOTA,University of Tokyo,Japan,6U,not launched,not launched,10 Gbit/s lasercom terminal for intersatellite links with GEO and downlinks to ground.,
2560,CyBEEsat ( (Cybersecurity Berlin Experimental & Educational Satellite),Technical University Berlin,Germany,1U,not launched,not launched,"Miniaturized transceiver for newly defined frequency bands for short-term missions, as well as radiation-tolerant solar cells from the University of Potsdam.",
2561,Diamond 6U 1,Sky and Space Global,UK,6U,not launched,not launched,"Constellation for voice, M2M and IoT communicaftion services.",
2562,Diamond 6U 2,Sky and Space Global,UK,6U,not launched,not launched,"Constellation for voice, M2M and IoT communicaftion services.",
2563,Diamond 6U 3,Sky and Space Global,UK,6U,not launched,not launched,"Constellation for voice, M2M and IoT communicaftion services.",
2564,Diamond 6U 4,Sky and Space Global,UK,6U,not launched,not launched,"Constellation for voice, M2M and IoT communicaftion services.",
2565,Diamond 6U 5,Sky and Space Global,UK,6U,not launched,not launched,"Constellation for voice, M2M and IoT communicaftion services.",
2566,Diamond 6U 6,Sky and Space Global,UK,6U,not launched,not launched,"Constellation for voice, M2M and IoT communicaftion services.",
2567,Diamond 6U 7,Sky and Space Global,UK,6U,not launched,not launched,"Constellation for voice, M2M and IoT communicaftion services.",
2568,Diamond 6U 8,Sky and Space Global,UK,6U,not launched,not launched,"Constellation for voice, M2M and IoT communicaftion services.",
2569,DODONA-2?,University of Southern California,US,1.5U,not launched,not launched,Software-defined satellite to dynamically change their missions on orbit.,
2570,DODONA-3?,University of Southern California,US,6U,not launched,not launched,Software-defined satellite to dynamically change their missions on orbit.,
2571,DODONA-4?,University of Southern California,US,6U,not launched,not launched,Software-defined satellite to dynamically change their missions on orbit.,
2572,DORA (Deployable Optical Receiver Array),Arizona State University,US,3U,not launched,not launched,Demonstrate data rates of 1 Gbps over distances of thousands of kilometers with laser communications.,
2573,Droid-1,Turion Space,US,3U,not launched,not launched,"Reach a stable orbit, send over-the-air software updates, and test equipment. The subscale demo craft won’t have a docking mechanism.",
2574,Edison (Space Inventor Pioneer Cubesat),Space Inventor,Denmark,6U,not launched,not launched,Satellite with hosted payload and demonstrate laser communication system and flexible solar panel.,
2575,ENDURANCE,IBM Space,US,6U,not launched,not launched,"Leveraging IBM’s Edge Computing in Space solution, developers will be able to execute containerized code on the Cubesat as it orbits the Earth.",
2576,eve-1,OroraTech,Germany,3U,not launched,not launched,First prototype for wildfire detection constellation.,
2577,Faraday-1d,In-Space Missions,UK,6U,not launched,not launched,Hosted payload opportunities for early service and technology demonstration.,
2578,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2579,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2580,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2581,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2582,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2583,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2584,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2585,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2586,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2587,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2588,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2589,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2590,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2591,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2592,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2593,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2594,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2595,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2596,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2597,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2598,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2599,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2600,Flock-xx xx,Planet Labs,US,3U,not launched,not launched,Constellation for optical Earth observation with 3-5m resolution.,
2601,Foresail-2,Finnish Centre of Excellence for Sustainable Space,Finland,6U,not launched,not launched,CubeSat to GTO with tether for Coulomb Drag Experiment and measuring radiation in the Van Allen belts.,
2602,FRAMSat-1,Orbit NTNU,Norway,1U,not launched,not launched,Demonstrate platform for tech demonstration of Norwegian technology.,
2603,Garatéa-L (Garatea-L),Airvantis,Brazil,6U,not launched,not launched,Study the effects of the microgravity environment on different life forms.,
2604,GEI-SAT,SATLANTIS,Spain,16U,not launched,not launched,"The satellite is an iSIM-SAT 16U-CubeSat, equipped with an iSIM-90 camera onboard.",
2605,GEMS-3 ( Global Environmental Monitoring System),Orbital Micro Systems,UK,3U,not launched,not launched,Commercial constellation to provide weather data.,
2606,GEMS-4 ( Global Environmental Monitoring System),Orbital Micro Systems,UK,3U,not launched,not launched,Commercial constellation to provide weather data.,
2607,GEMS-5 ( Global Environmental Monitoring System),Orbital Micro Systems,UK,3U,not launched,not launched,Commercial constellation to provide weather data.,
2608,GEMS-6 ( Global Environmental Monitoring System),Orbital Micro Systems,UK,6U,not launched,not launched,Commercial constellation to provide weather data.,
2609,Guardian - Alpha,OrbAstro (Orbital Astronautics),UK,3U,not launched,not launched,Demonstrate a variety of technologies including an UltraScale+ high-performance computer.,
2610,Helios 4 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2611,Helios 5 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2612,Helios 6 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2613,Helios 7 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2614,Helios 8 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2615,Helios 9 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2616,Helios 10 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2617,Helios 11 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2618,Helios 12 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2619,Helios 13 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2620,Helios 14 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2621,Helios 15 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2622,Helios 16 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2623,Helios 17 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2624,Helios 18 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2625,Helios 19 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2626,Helios 20 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2627,Helios 21 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2628,Helios 22 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2629,Helios 23 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2630,Helios 24 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2631,Helios 25 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2632,Helios 26 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2633,Helios 27 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2634,Helios 28 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2635,Helios 29 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2636,Helios 30 (SIRION),Helios Wire,US,6U,not launched,not launched,Commercial constellation for IoT/M2M.,
2637,HERMES-SP B (High Energy Modular Ensemble of Satellites Scientific Pathfinder),INAF (National Institute for Astrophysics),Italy,3U,not launched,not launched,Demonstrate detector design (Silicon Drift Detectors coupled to GAGG:Ce scintillator crystals) and its performance.,
2638,HERMES-SP C (High Energy Modular Ensemble of Satellites Scientific Pathfinder),INAF (National Institute for Astrophysics),Italy,3U,not launched,not launched,Demonstrate detector design (Silicon Drift Detectors coupled to GAGG:Ce scintillator crystals) and its performance.,
2639,HERMES-TP A (High Energy Modular Ensemble of Satellites Technological Pathfinder),INAF (National Institute for Astrophysics),Italy,3U,not launched,not launched,Demonstrate detector design (Silicon Drift Detectors coupled to GAGG:Ce scintillator crystals) and its performance.,
2640,HERMES-TP B (High Energy Modular Ensemble of Satellites Technological Pathfinder),INAF (National Institute for Astrophysics),Italy,3U,not launched,not launched,Demonstrate detector design (Silicon Drift Detectors coupled to GAGG:Ce scintillator crystals) and its performance.,
2641,HERMES-TP C (High Energy Modular Ensemble of Satellites Technological Pathfinder),INAF (National Institute for Astrophysics),Italy,3U,not launched,not launched,Demonstrate detector design (Silicon Drift Detectors coupled to GAGG:Ce scintillator crystals) and its performance.,
2642,HORYU-VI (HORYU-6),Kyushu Institute of Technology,Japan,12U,not launched,not launched,Specialized in lunar horizon glow (LHG) observations will be put into lunar orbit to detect the light scattering above the lunar terminator.,
2643,HumbiSat,HumbiSat,Algeria,2U,not launched,not launched,1st Pan-African NanoSatellite development and Capacity building program with the collaboration of individuals from all states in Africa.,
2644,HyperCube 1 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,"3D sounding instrument designed to measure the speed, direction, and elevation of wind in Earth’s atmosphere (3D wind data).",
2645,HyperCube 2 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2646,HyperCube 3 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2647,HyperCube 4 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2648,HyperCube 5 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2649,HyperCube 6 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2650,HyperCube 7 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2651,HyperCube 8 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2652,HyperCube 9 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2653,HyperCube 10 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2654,HyperCube 11 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2655,HyperCube 12 (CubeSat-FTS),Harris Corporation,US,6U,not launched,not launched,Constellation for 3D wind data.,
2656,Hyperion 1,Inovor,US,12U,not launched,not launched,"Support global SSA effort using a constellation of 12U in LEO, observing the MEO and GEO orbital bands.",
2657,INNOcube,University of Würzburg,Germany,3U,not launched,not launched,Demonstrate structure that can store energy and ultra-broadband radio that does not require internal cabling.,
2658,INSPIRE-Sat 7 (INSPIRE-Sat-7),University of Versailles Saint-Quentin-en-Yvelines (UVSQ),France,2U,not launched,not launched,Educational mission with ionospheric sensors and radio amateur mission.,
2659,Intuition-1,KP Labs,Poland,6U,not launched,not launched,Demonstrate an advanced hyperspectral imager and novel on-board processor,
2660,IOD Mission 2 (IOD-2),Satellite Applications Catapult,UK,3U,not launched,not launched,Not yet selected IOD mission by Satellite Applications Catapult.,
2661,IOD Mission 4 (IOD-4),Satellite Applications Catapult,UK,3U,not launched,not launched,Not yet selected IOD mission by Satellite Applications Catapult.,
2662,IonSat (Ion-Sat),Ecole Polytechnique,France,6U,not launched,not launched,Demonstrate iodine thruster developed by ThrustMe.,
2663,IRVINE04,University High School,US,1U,not launched,not launched,Educational mission with dosimeter and biology payloads.,
2664,ISISpace IOD 2 Project2 (CSC),ISISpace,Netherlands,6U,not launched,not launched,Provide an In-Orbit Demonstration (IOD) and In-Orbit Verification (IOV) service in space.,
2665,Kepler-xx,Kepler Communications,Canada,6U,not launched,not launched,Commercial constellation for IoT/M2M and wideband communications.,
2666,Kepler-xx,Kepler Communications,Canada,6U,not launched,not launched,Commercial constellation for IoT/M2M and wideband communications.,
2667,Kepler-xx,Kepler Communications,Canada,6U,not launched,not launched,Commercial constellation for IoT/M2M and wideband communications.,
2668,Kepler-xx,Kepler Communications,Canada,6U,not launched,not launched,Commercial constellation for IoT/M2M and wideband communications.,
2669,KufaSat,University of Kufa,Iraq,1U,not launched,not launched,Remote sensing and imaging.,
2670,LACCE (LouisianA Coronal mass ejection Correlation Experiment),University of Louisiana at Lafayette,US,3U,not launched,not launched,"Highly elliptical geosynchronous transfer orbit to study the impacts of solar storms to the Earth’s magnetic field, light spectra and radiation belts.",
2671,LappiSat-1,Sodankylä Geophysical Observatory,Finland,6U,not launched,not launched,Obtain new information about the polar lights and changes in the geoenvironment.,
2672,Laura Orbot,Rogue Space Systems,US,12U,not launched,not launched,"Building a fleet of Orbital Robots (Orbots™) equipped with sensors, cameras, robotics and artificial intelligence (AI) software to enable up-close inspections and assistanc",
2673,Lemu Nge,Lemu,Chile,6U,not launched,not launched,Hyperspectral nano-satellite dedicated to biodiversity observation.,
2674,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2675,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2676,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2677,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2678,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
